typeProperty,typeOfForm,rooms,size_x100,bisize_x100,balkong,tomtarea_x10000,buildArea,uteplats,floor,type,distance_from_city_center,price_evolution_numbers_per_million,asking_price_per_million,cost_per_year_x1000,price_per_m2_x10000,elevator
1,5,0.0,0.5,0.0,1,2.1,1.9,0,0.0,1,3.468704752621604,0.6,6.5,0.0,13.0,0.0
8,5,5.0,1.65,0.1,1,0.0409,2.008,0,0.0,2,31.371286121622457,0.305,8.495,52.56,4.854285714285714,0.0
4,2,1.0,0.28,0.0,0,0.0,1.962,0,0.3333333333333333,3,76.10655307829909,-0.025,1.075,5.829,3.839285714285714,0.0
4,2,6.0,1.63,0.0,1,0.0,2.018,0,0.0,3,10.938059279948432,-0.1,4.1,14.488,2.515337423312883,0.0
8,5,5.0,1.24,0.46,1,0.104,1.981,0,0.0,2,29.49766921773547,-0.495,5.995,46.06,3.5264705882352945,0.0
7,5,4.0,1.13,0.0,1,0.0161,1.969,0,0.0,0,36.37395190705518,-0.05,3.3,17.656,2.920353982300885,0.0
4,2,3.0,0.83,0.0,0,0.0,1.901,1,0.2,3,23.49618078106516,0.84,6.995,0.0,8.427710843373495,1.0
1,5,3.0,0.46,0.11,1,0.1992,2.019,0,0.0,1,6.879317359512412,0.305,6.995,21.537,12.271929824561402,0.0
0,5,3.0,0.56,0.0,1,0.2348,1.98,0,0.0,1,16.725366455618126,-0.2,1.8,13.559,3.214285714285714,0.0
8,5,4.0,1.09,0.0,1,0.1477,1.9,0,0.0,2,44.72972281236397,2.66,7.99,56.554,7.330275229357797,0.0
4,2,2.5,0.54,0.0,1,0.0,0.0,1,1.0,3,11.269427313107832,-0.295,2.495,0.0,4.62037037037037,1.0
8,5,5.0,0.95,0.62,1,0.3056,1.96,0,0.0,2,12.86173095350289,0.52,3.995,0.0,2.5445859872611467,0.0
9,1,4.0,0.82,0.0,1,0.2,2.005,0,0.0,1,2.947330508127457,-0.25,2.85,24.393,3.4756097560975614,0.0
8,5,7.0,1.55,0.62,1,0.1055,1.96,0,0.0,2,31.371286121622457,0.125,10.675,36.414,4.919354838709677,0.0
4,2,2.0,0.61,0.0,1,0.0,1.974,0,1.0,3,6.843778794457668,-0.275,2.55,5.496,4.1803278688524586,0.0
0,5,4.0,0.85,0.05,1,0.4391,1.909,0,0.0,1,60.70480763502802,-0.095,0.995,10.876,1.1055555555555554,0.0
8,5,7.0,1.85,0.41,1,0.0636,1.958,0,0.0,2,45.90376140600314,0.2,10.45,44.0,4.623893805309734,0.0
1,1,4.0,0.94,0.0,1,0.35,1.992,0,0.0,1,19.232787689077888,1.2,2.8,17.85,2.978723404255319,0.0
